id,Latitude,Longitude,h,x,y,x_normed,y_normed,h_normed,Location_RURAL,Location_SUBURBAN,Location_UNKNOWN,Location_URBAN AND CENTER CITY
32_3_11,36.108588,-114.834433,396.0,-1676766.0776236523,-144919.3199686826,0.32114616064776536,-0.19603371181597049,-0.11891464890587541,0,0,1,0
32_3_12,36.597752,-114.485537,419.0,-1635220.7464314466,-98367.91982918177,0.35942892873916626,-0.15313800236487196,-0.08316928316328037,1,0,0,0
32_3_14,36.124137,-115.211667,684.0,-1709492.606049896,-136210.16281627672,0.2909896529915314,-0.18800848650257426,0.32867949604488,0,1,0,0
32_3_15,36.191636,-115.202503,671.0,-1707125.0077635313,-129089.91634957558,0.2931713233147542,-0.18144739440350646,0.30847559366863064,0,1,0,0
32_3_16,36.174415,-115.136112,0.0,-1701708.1694431433,-132195.8036386613,0.2981627762471822,-0.18430937574759565,-0.7343565982131641,0,0,0,1
32_3_17,36.143306,-115.052775,1720.0,-1695121.886547069,-137115.22326278462,0.3042318370407588,-0.18884247237266075,1.9387751007982919,0,1,0,0
32_3_19,36.114971,-115.192222,0.0,-1708000.4894844433,-137566.1192749691,0.2923645933470744,-0.18925795943155396,-0.7343565982131641,0,1,0,0
32_3_20,36.245248,-115.093058,1922.0,-1696303.76057525,-125346.6428996132,0.3031427758144858,-0.1779980809602069,2.2527126607984744,0,1,0,0
32_3_21,36.163581,-115.163056,0.0,-1704319.1865936818,-132861.506120022,0.29575680279148164,-0.18492280048102472,-0.7343565982131641,0,0,0,1
32_3_22,36.39103,-114.907429,662.0,-1676724.5079925244,-113035.62505724917,0.3211844658075137,-0.16665384979141692,0.2944882766389195,1,0,0,0
32_3_23,36.807913,-114.060879,490.0,-1593574.110675429,-83165.30389759388,0.3978050459268849,-0.13912925087847616,0.02717510673777392,1,0,0,0
32_3_24,36.815897,-114.050347,10.0,-1592483.0774597973,-82485.4158052908,0.3988104000876403,-0.13850275453294633,-0.7188151348468185,0,1,0,0
32_3_43,36.106389,-115.253333,737.0,-1713556.9593059015,-137342.84154818804,0.28724447420305704,-0.18905221574895367,0.4110492518865121,0,1,0,0
32_3_44,36.004733,-115.268517,821.0,-1717252.1491173774,-148038.42968413743,0.2838394683805743,-0.1989078772266628,0.5415975441638158,0,1,0,0
32_3_71,36.16976,-115.263038,780.0,-1712934.4822536863,-130314.07230616634,0.28781806800886706,-0.1825754171499628,0.47787754436179847,0,1,0,0
32_3_72,36.224689,-115.267506,0.0,-1712048.5881290818,-124296.38570251696,0.2886343926921117,-0.17703030066916173,-0.7343565982131641,0,1,0,0
32_3_73,36.173415,-115.332728,932.0,-1718952.6781919033,-128603.34704861128,0.282272482191643,-0.18099903548627855,0.7141077875302527,0,1,0,0
32_3_75,36.270592,-115.238282,709.0,-1708425.0527450526,-119887.91227197158,0.2919733711235509,-0.172968025531725,0.3675331544607442,0,0,0,1
32_3_78,35.465041,-114.920427,1094.0,-1699014.1807948318,-212923.77758512806,0.3006452054324747,-0.2586977658842242,0.9658794940650526,1,0,0,0
32_3_107,36.05442,-114.998049,520.0,-1692362.6488912445,-147742.87492120825,0.3067743912160594,-0.19863553243790227,0.07379949683681095,0,1,0,0
